task_id	group	name	dataset_id	dataset_path	alpha	tau_mode	seed	n_train	n_calib	n_eval	hadamard	n_trials	command
1	main_alpha_sweep	h1h0_alpha_0.01	h1h0	NeighborCache/data/h1h0_final.npz	0.01	global	42	1200	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.01 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
2	main_alpha_sweep	h1h0_alpha_0.03	h1h0	NeighborCache/data/h1h0_final.npz	0.03	global	42	1200	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.03 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
3	main_alpha_sweep	h1h0_alpha_0.05	h1h0	NeighborCache/data/h1h0_final.npz	0.05	global	42	1200	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
4	main_alpha_sweep	h1h0_alpha_0.10	h1h0	NeighborCache/data/h1h0_final.npz	0.1	global	42	1200	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.1 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
5	main_alpha_sweep	lmsys_alpha_0.01	lmsys	NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz	0.01	global	42	1200	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz --region_key global_cluster --alpha 0.01 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
6	main_alpha_sweep	lmsys_alpha_0.03	lmsys	NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz	0.03	global	42	1200	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz --region_key global_cluster --alpha 0.03 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
7	main_alpha_sweep	lmsys_alpha_0.05	lmsys	NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz	0.05	global	42	1200	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
8	main_alpha_sweep	lmsys_alpha_0.10	lmsys	NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz	0.1	global	42	1200	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz --region_key global_cluster --alpha 0.1 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
9	train_size_ablation	h1h0_train_100	h1h0	NeighborCache/data/h1h0_final.npz	0.05	global	42	100	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 100 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
10	train_size_ablation	h1h0_train_300	h1h0	NeighborCache/data/h1h0_final.npz	0.05	global	42	300	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 300 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
11	train_size_ablation	h1h0_train_700	h1h0	NeighborCache/data/h1h0_final.npz	0.05	global	42	700	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 700 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
12	train_size_ablation	h1h0_train_1200	h1h0	NeighborCache/data/h1h0_final.npz	0.05	global	42	1200	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
13	train_size_ablation	lmsys_train_100	lmsys	NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz	0.05	global	42	100	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 100 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
14	train_size_ablation	lmsys_train_300	lmsys	NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz	0.05	global	42	300	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 300 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
15	train_size_ablation	lmsys_train_700	lmsys	NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz	0.05	global	42	700	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 700 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
16	train_size_ablation	lmsys_train_1200	lmsys	NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz	0.05	global	42	1200	1200	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/lmsys_h1h0_by_cluster_h1keep_with_unormalized_embedding_fixed.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 1200 --n_eval 1200 --hadamard_preprocess
17	calib_size_ablation	h1h0_calib_100	h1h0	NeighborCache/data/h1h0_final.npz	0.05	global	42	1200	100	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 100 --n_eval 1200 --hadamard_preprocess
18	calib_size_ablation	h1h0_calib_300	h1h0	NeighborCache/data/h1h0_final.npz	0.05	global	42	1200	300	1200	1	20	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 20 --seed 42 --n_train 1200 --n_calib 300 --n_eval 1200 --hadamard_preprocess
